State,nextUnsheltered,overall,unsheltered,population,unemployment
WA,5902,17760,5053,6963985,7
WI,343,6104,368,5736754,6.7
WV,430,2240,628,1853914,6.8
WY,194,953,452,582122,4.7
AK,205,1913,197,730443,7.1
AL,1443,5209,1545,4815588,8
AR,2148,4214,2612,2952164,7.6
AZ,3131,11302,3087,6554978,8.3
CA,72998,120098,74208,37948800,10.4
CO,2163,16768,9508,5192647,7.9
CT,919,4209,695,3594547,8.3
DC,512,6954,679,634924,9
DE,10,1008,22,915179,7.2
FL,28192,55170,35338,19297822,8.5
GA,8461,20516,12196,9901430,9.2
HI,2590,6246,2520,1394804,6
IA,134,2928,148,3076190,5
ID,377,1968,486,1595324,7.2
IL,2196,14144,2995,12882510,9
IN,700,6259,889,6537703,8.3
KS,311,2684,334,2885257,5.7
KY,754,5230,911,4386346,8.2
LA,1575,7772,3965,4600972,7.1
MA,850,17501,722,6663005,6.7
MD,1922,9454,3512,5886992,7
ME,62,2393,33,1327729,7.5
MI,2188,12592,2322,9897145,9.1
MN,915,7744,990,5376643,5.6
MO,2080,10237,2344,6024367,6.9
MS,1320,2413,1371,2983816,9
MT,784,1833,680,1003783,6
NC,3155,13524,4715,9749476,9.3
ND,1395,688,53,701176,3.1
NE,173,3789,832,1853303,4
NH,202,1496,167,1324232,5.5
NJ,1399,13025,1596,8844942,9.3
NM,428,3245,848,2087309,7.1
NV,3341,8497,4527,2743996,11.2
NY,4157,69566,4084,19572932,8.5
OH,1338,13977,1731,11548923,7.4
OK,1146,5032,1989,3818814,5.2
OR,7390,15828,9283,3899001,8.8
PA,1359,14736,1076,12767118,7.8
RI,117,1277,28,1054621,10.4
SC,3133,4915,2139,4717354,9.2
SD,339,859,64,833566,4.3
TN,3207,9426,3648,6453898,7.8
TX,12090,34052,16551,26084481,6.7
UT,418,3527,475,2853375,5.4
VA,1022,8424,1429,8185080,6.1
VT,184,1160,223,626090,5
WA,5053,20504,5477,6897058,8.1
WI,368,6027,581,5719960,7
WV,628,2410,877,1856872,7.5
WY,452,1813,1338,576305,5.3
AK,197,2128,368,722128,7.6
AL,1545,5558,1809,4799069,9.6
AR,2612,3424,1622,2940667,8.3
AZ,3087,10504,3202,6472643,9.5
CA,74208,125128,74437,37638369,11.7
CO,9508,15116,8970,5121108,8.4
CT,695,4456,695,3588283,8.8
DC,679,6546,305,619800,10.2
DE,22,1035,22,907381,7.5
FL,35338,56687,35863,19053237,10
GA,12196,20975,12252,9802431,10.2
HI,2520,6188,2556,1379329,6.8
IA,148,3134,121,3066336,5.5
ID,486,2199,614,1583910,8.3
IL,2995,14009,2920,12867454,9.7
IN,889,6196,646,6516528,9.1
KS,334,2511,289,2869225,6.5
KY,911,6034,851,4369821,9.4
LA,3965,9291,5886,4575625,7.8
MA,722,16664,703,6613583,7.3
MD,3512,10208,3712,5839419,7.2
ME,33,2447,29,1328284,7.9
MI,2322,13185,2321,9882412,10.4
MN,990,7495,928,5346143,6.5
MO,2344,8989,2271,6010275,8.5
MS,1371,2306,1250,2978731,10
MT,680,1768,552,997316,6.9
NC,4715,12896,3651,9657592,10.3
ND,53,603,43,685225,3.5
NE,832,3548,507,1840672,4.4
NH,167,1469,310,1320202,5.4
NJ,1596,14137,1307,8828117,9.3
NM,848,3601,848,2080450,7.5
NV,4527,9150,4605,2712730,13
NY,4084,63445,3667,19499241,8.3
OH,1731,13030,1806,11544663,8.8
OK,1989,4625,1637,3788379,5.9
OR,9283,17254,10242,3872036,9.5
PA,1076,15096,1060,12745815,7.9
RI,28,1070,31,1053649,11
SC,2139,5093,2139,4671994,10.6
SD,64,826,64,823579,4.7
TN,3648,9113,3198,6399291,9
TX,16551,36911,17939,25645629,7.8
UT,475,3130,443,2814384,6.7
VA,1429,8816,1430,8101155,6.6
VT,223,1144,123,627049,5.5
WA,5477,20439,5364,6826627,9.3
WI,581,5785,430,5705288,7.8
WV,877,2211,806,1856301,8.1
WY,1338,1038,843,567299,5.8
AK,368,1863,192,713910,7.9
