State,nextUnsheltered,overall,unsheltered,population
ME,44,2638,62,1327040
MI,16467,28295,16743,10001284
MN,1374,7323,1445,5207203
MO,2080,6247,1110,5887612
MS,755,1377,526,2928350
MT,410,1150,295,964706
NC,4386,11802,3923,9118037
ND,19,636,59,652822
NE,758,3531,524,1783440
NH,484,2248,975,1312540
NJ,1972,17314,2478,8677885
NM,1267,3015,1267,1990070
NV,3863,8642,3824,2601072
NY,4609,62601,5320,19132335
OH,2535,11264,1884,11500468
OK,1043,4221,1132,3634349
OR,10707,17590,9261,3722417
PA,1299,16220,1479,12563937
PR,2202,4309,2941,3782995
RI,54,1372,49,1057315
SC,2574,5660,2574,4444110
SD,41,579,41,791623
TN,4045,11210,4764,6175727
TX,16110,39788,16906,23831983
UT,256,3011,313,2597746
VA,1574,9746,2179,7751000
VI,487,559,487,107115
VT,258,1035,315,623481
WA,6498,23379,6522,6461587
WI,515,5648,563,5610775
WV,594,2409,262,1834052
WY,132,537,140,534876
